read , READ

x , IDENTIFIER

; , SEMICOLON

if , IF

0 , NUMBER

< , LESSTHAN

x , IDENTIFIER

then , THEN

fact , IDENTIFIER

:= , ASSIGN

1 , NUMBER

; , SEMICOLON

repeat , REPEAT

fact , IDENTIFIER

:= , ASSIGN

fact , IDENTIFIER

* , MULT

x , IDENTIFIER

; , SEMICOLON

x , IDENTIFIER

:= , ASSIGN

x , IDENTIFIER

- , MINUS

1 , NUMBER

until , UNTIL

x , IDENTIFIER

= , EQUAL

0 , NUMBER

+ , PLUS

1 , NUMBER

* , MULT

2 , NUMBER

* , MULT

2 , NUMBER

* , MULT

2 , NUMBER

* , MULT

2 , NUMBER

* , MULT

( , OPENBRACKET

2 , NUMBER

- , MINUS

2 , NUMBER

) , CLOSEDBRACKET

- , MINUS

6 , NUMBER

/ , DIV

2 , NUMBER

; , SEMICOLON

write , WRITE

fact , IDENTIFIER

else , ELSE

write , WRITE

x , IDENTIFIER

end , END

